product,total_qty,avg_daily_qty,qty_std,max_daily_qty,total_revenue,first_sale,last_sale,sale_days,volatility,days_span,avg_days_between_sales,estimated_turnover
A2 BUFFALO MILK 500ml SIDS FARM,2913.0,15.92,5.42,36.0,174094.0,2025-04-01,2025-09-30,183,0.34045226130653267,182,0.994535519125683,2.6972222222222224
AA KAKARAKAI,334.16,3.44,1.53,7.7,69293.99,2025-04-29,2025-09-30,97,0.44476744186046513,154,1.5876288659793814,1.4465800865800866
AASHIRVAAD ATTA 1KG,167.0,1.99,1.31,6.0,12058.0,2025-04-01,2025-09-30,84,0.6582914572864322,182,2.1666666666666665,0.9277777777777778
AASHIRVAAD CRYSTAL SALT 1KG,67.0,1.26,0.52,3.0,1474.0,2025-04-20,2025-09-29,53,0.41269841269841273,162,3.056603773584906,0.7444444444444445
AASHIRVAAD SALT 1KG,73.0,1.38,0.74,4.0,2160.0,2025-04-20,2025-09-29,53,0.5362318840579711,162,3.056603773584906,0.6083333333333333
AASHIRVAD ATTA 2KG,39.0,1.62,0.92,4.0,4290.0,2025-07-04,2025-09-24,24,0.5679012345679012,82,3.4166666666666665,0.325
AASHIRVAD CHILLI PWD 100G,4.0,1.0,0.0,1.0,200.0,2025-04-23,2025-05-26,4,0.0,33,8.25,0.13333333333333333
AASHIRVAD CHILLI PWD 200G,15.0,1.5,1.08,4.0,1500.0,2025-04-19,2025-09-21,10,0.7200000000000001,155,15.5,0.125
AASHIRVAD CHILLI PWD 500G,5.0,1.0,0.0,1.0,1250.0,2025-06-07,2025-09-24,5,0.0,109,21.8,0.16666666666666666
AASHIRVAD CORIANDER PWD 100G,48.0,1.17,0.44,3.0,2205.7,2025-04-22,2025-09-30,41,0.3760683760683761,161,3.926829268292683,0.5333333333333333
AASHIRVAD CORIANDER PWD 200G,5.0,1.25,0.5,2.0,460.0,2025-06-14,2025-07-12,4,0.4,28,7.0,0.08333333333333333
AASHIRVAD MULITGRAIN ATTA 1KG,77.0,1.51,0.7,4.0,6391.0,2025-05-02,2025-09-30,51,0.46357615894039733,151,2.9607843137254903,0.6416666666666667
AASHIRVAD SELECT ATTA 1KG,72.0,1.36,0.68,4.0,5976.0,2025-04-22,2025-09-29,53,0.5,160,3.018867924528302,0.6
AASHIRVAD TURMERIC PWD 100G,35.0,1.52,0.9,4.0,1400.0,2025-04-19,2025-09-06,23,0.5921052631578947,140,6.086956521739131,0.2916666666666667
ABC CANE JUICE,200.0,2.08,1.36,8.0,20000.0,2025-04-01,2025-09-30,96,0.6538461538461539,182,1.8958333333333333,0.8333333333333334
AFGHANI RAISINS KGS FLYBERRY,9.61,0.18,0.1,0.49,6628.14,2025-04-01,2025-09-30,52,0.5555555555555556,182,3.5,0.6537414965986394
AGMARK GHEE 500 ML HERITAGE,43.0,1.16,0.37,2.0,16110.0,2025-04-21,2025-09-24,37,0.31896551724137934,156,4.216216216216216,0.7166666666666667
AJWA DATES KGS FLYBERRY LOOSE KGS,0.45,0.15,0.08,0.24,915.55,2025-07-16,2025-09-09,3,0.5333333333333333,55,18.333333333333332,0.06250000000000001
AJWAIN 100g,61.0,1.3,0.66,4.0,4270.0,2025-04-04,2025-09-23,47,0.5076923076923077,172,3.6595744680851063,0.5083333333333333
AK COUNTRY EGGS 6PC PACK AKSHAYA KALPA,21.0,1.11,0.32,2.0,3000.0,2025-04-01,2025-07-08,19,0.2882882882882883,98,5.157894736842105,0.35
AK ORGANIC HIGH PROTEIN PANEER 200g,68.0,1.66,1.3,8.0,11520.0,2025-05-31,2025-08-24,41,0.783132530120482,85,2.073170731707317,0.2833333333333333
AKSHAYA KALPA ORGANIC COW GHEE 195ml,14.0,1.08,0.28,2.0,4498.0,2025-04-25,2025-09-24,13,0.25925925925925924,152,11.692307692307692,0.23333333333333334
AKSHAYA MULTI FLORAL RAW HOENY 250g,46.0,1.07,0.26,2.0,8880.0,2025-04-03,2025-09-30,43,0.24299065420560748,180,4.186046511627907,0.7666666666666667
AKSHAYAKALPA TABLE BUTTER SALTED 100g TUB ORGANIC,1.0,1.0,,1.0,125.0,2025-08-03,2025-08-03,1,,0,0.0,0.03333333333333333
